Manila,2492200
Quezon City,2960048
Zamboanga,2100000
Davao,1776949
Caloocan,1661584
Canagatan,1273219
Cebu,964169
Antipolo,887399
Taguig,886722
Pasig,803159
Cagayan de Oro,728402
Valenzuela,714978
Dasmarinas,703141
General Santos,697315
City of Paranaque,689992
Bacoor,664625
Tondo,654220
San Jose del Monte,651813
Makati,629616
Las Pinas,606293
Bacolod,600783
Iloilo,574000
Muntinlupa,543445
City of Calamba,539671
Lapu-Lapu,497604
Imus,496794
Angeles,462928
Marikina,456059
General Trias,450583
Rodriguez,443954
Pasay,440656
Mandaluyong,425758
Santa Rosa,414812
Binan,407437
Sampaloc,388305
Taytay,386451
Tarlac,385398
Malabon,380522
Cainta,376933
Lipa,372931
Butuan,372910
Baguio,366358
Mandaue,364116
Iligan,363115
Cabuyao,355330
San Fernando,354666
Batangas,351437
Naga,342769
Cabanatuan,327325
San Pedro,326001
Cotabato,325079
Binangonan,313631
Tanza,312116
Puerto Princesa,307079
Tagum,296202
Silang,295644
Mabalacat,293244
Santa Maria,289820
San Pablo,285348
Lucena,278924
San Mateo,273306
Talisay,263048
Malolos,261189
Olongapo,260317
Marilao,254453
Tacloban,251881
Navotas,247543
Ormoc,230998
Meycauayan,225673
Santo Tomas,218500
Valencia,216546
Trece Martires,210503
Pagadian,210452
Legazpi,209533
Panabo,209230
Toledo,207314
Marawi,207010
San Carlos,205424
Santa Ana,203598
Kabankalan,200198
Koronadal,195398
Tanauan,193936
Bago,191210
Malaybalay,190712
Digos,188376
Calbayog,186960
Sorsogon,182237
Roxas,179292
Dagupan,174302
Lubao,173502
Mexico,173403
Polomolok,172605
General Mariano Alvarez,172433
San Miguel,172073
Surigao,171107
Concepcion,169953
Baliuag,168470
Tuguegarao,166334
Sariaya,161868
Naic,160987
Kidapawan,160791
Cadiz,158544
Ilagan,158218
Danao,156321
Capas,156056
Pandi,155115
San Jose,153267
Poblacion,153197
Minglanilla,151002
Mariveles,149879
Sagay,148894
Santiago,148580
Consolacion,148012
Mati,147547
Calapan,145786
Arayat,144875
Urdaneta,144577
Calabayan,143403
Malasiqui,143094
Bocaue,141412
Tabaco,140961
Porac,140751
Ozamiz,140334
Payatas,139740
Tanay,139420
Dipolog,138141
Candelaria,137881
La Trinidad,137404
Jolo,137266
Gingoog,136698
Nasugbu,136524
Carcar,136453
Norzagaray,136064
Floridablanca,135542
Dumaguete,134103
Daraga,133893
San Andres,133727
Hagonoy,133448
Talavera,132338
Angono,130494
Silay,130478
City of Isabela,130379
Bamban,129011
Guagua,128893
Rosario,128352
Guimba,127653
Santa Cruz,126735
San Juan,126347
Magalang,124188
Gapan,122968
Bayawan,122747
Tabuk,121033
Candaba,119497
Calumpit,118471
Dinalupihan,118209
Malita,118197
Ligao,118096
Midsayap,117365
Apalit,117160
Samal,116771
Datu Odin Sinsuat,116768
Himamaylan,116240
Bongao,116118
San Ildefonso,115713
Los Banos,115353
Iriga,114457
Plaridel,114432
Guiguinto,113415
Manolo Fortich,113200
Mangaldan,113185
Libmanan,112994
Tayabas,112658
Subic,111912
Baybay,111848
Daet,111700
Laoag,111651
Santamesa,111292
Quezon,109624
Naujan,109587
Glan,109547
Bayugan,109499
Tacurong,109319
Labo,109245
Pulilan,108836
Cawayan,108480
Maramag,108293
Lingayen,107728
Kawit,107535
Bagong Silangan,106886
Catbalogan,106440
Tiaong,106265
Carmona,106256
Malungun,105465
Bulan,105190
Sultan Kudarat,105121
Tagbilaran,104976
Masbate,104522
Balanga,104173
Sindangan,103952
San Rafael,103097
Paniqui,103003
Parang,102914
Guihulngan,102656
Cavite,100674
Calasiao,100471
Lamitan,100150
Talipao,100088
Putatan,99725
Alaminos,99397
Bislig,99290
Malate,99257
Pili,99196
Oton,98509
M'lang,98195
Catarman,97879
Isulan,97490
Escalante,96159
Balayan,95913
Balamban,95136
Lopez,94657
Gerona,94485
Monkayo,93937
Daanbantayan,93502
Lemery,93186
Indanan,93168
Palimbang,92828
Sablayan,92598
Santa Barbara,92187
Salaman,91344
Bauan,90819
Pantukan,90786
Pongotan,90786
Pinamalayan,90383
Victorias,90101
Compostela,89884
Ipil,89401
Surallah,89340
Polangui,89176
Banga,89164
Kalibo,89127
Hinigaran,88909
Calabanga,88906
Passi,88873
Murcia,88868
Bogo,88867
Solana,88445
Echague,88410
Aroroy,88351
Prosperidad,88321
Alabel,88294
Makilala,87927
Baggao,87753
Calauan,87693
Baras,87637
Western Bicutan,87508
Maasin,87446
San Fabian,87428
Calaca,87361
Camiling,87319
Binmaley,86881
Nabua,86490
Bantayan,86247
Cabiao,85862
Guinobatan,85786
Batarasa,85439
Tagaytay,85330
Dapitan,85202
Pandacan,84769
Nabunturan,84340
Bais,84317
Science of Munoz,84308
Bolinao,83979
Maco,83237
Siaton,83082
San Antonio,83060
Mabinay,82953
Tanjay,82642
Calatrava,82540
Carmen,82018
Ubay,81799
Siasi,81689
Matalam,81355
Buhi,81306
Lambunao,81236
Bulacan,81232
Kapalong,81068
San Francisco,80760
Malapatan,80741
Barili,80715
Cabadbaran,80354
Tagoloan,80319
Paco,79839
Patikul,79564
Robles,79492
San Isidro,79372
Mangatarem,79323
Jaen,79189
Pagbilao,78700
Bauang,78449
Pototan,78298
Limay,78272
Argao,78187
Macabebe,78151
Narra,77948
Santa Catalina,77501
Hermosa,77443
Bustos,77199
Kabacan,77164
Umingan,77074
Talakag,77027
Balagtas,77018
Bongabong,76973
Virac,76520
Palo,76213
Infanta,76186
Manaoag,76045
Pilar,75793
Pinamungahan,75131
Libon,75073
Bugallon,74962
Pozorrubio,74729
Esperanza,74696
Dalaguete,74596
Balingasag,74385
Brookes Point,73994
Dumangas,73899
Alicia,73874
Tupi,73459
Lala,73425
Jose Abad Santos,73381
Bula,73143
Catanauan,72752
Carles,72637
San Dionisio,72522
Bacacay,72485
Sipalay,72448
Oroquieta,72301
Camalig,72042
Borongan,71961
Gumaca,71942
Calauag,71809
Pililla,71535
Binalbagan,71407
Goa,71368
Talibon,71272
Morong,71151
Mauban,71081
Alabang,71075
Tumauini,70743
Pavia,70388
Aliaga,70363
Orani,70342
Rizal,70196
Tinambac,70176
Victoria,69370
Don Carlos,69273
San Pascual,69009
La Paz,68952
Bagumbayan,68947
Buenavista,68892
Aparri,68839
Indang,68699
Alamada,68659
San Leonardo,68536
Mamungan,68465
Tangub,68389
Sipocot,68169
Tuburan,68167
Miagao,68115
Cuyapo,68066
Castillejos,67889
Bayombong,67714
Bay,67182
Pikit,67024
Lupon,66979
Bongabon,66839
Janiuay,66786
Botolan,66739
Rosales,66711
La Carlota,66664
Opol,66327
Oas,66084
Agoo,66028
Lantapan,65974
Coron,65855
Kiamba,65774
San Remigio,65744
Lutayan,65644
Angat,65617
Solano,65287
Tigbauan,65245
Pateros,65227
Villasis,65047
Nagcarlan,64866
Isabela,64516
Hilongos,64514
Malvar,64379
Sibulan,64343
Saravia,64290
Atimonan,64260
Teresa,64072
Tuao,63970
Sibalom,63833
